,Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,image_url
0,7405789,Toodz House,94,Jakarta,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta",Fatmawati,"Fatmawati, Jakarta",106.801782,-6.278012,"Cafe, Italian, Coffee and Tea, Western, Indonesian",165000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,1476,https://blog.cove.id/content/images/size/w1000/2022/01/toodz-house.webp
1,7422751,Union Deli,94,Jakarta,"Grand Indonesia Mall, Lantai Ground, East Mall, Jl. MH Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.8197488,-6.197150016,"Desserts, Bakery, Western",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,903,https://pbs.twimg.com/media/Dvq0CrUU0AUuqKJ?format=jpg&name=large
2,7402935,Skye,94,Jakarta,"Menara BCA, Lantai 56, Jl. MH. Thamrin, Thamrin, Jakarta","Grand Indonesia Mall, Thamrin","Grand Indonesia Mall, Thamrin, Jakarta",106.821999,-6.196778,"Italian, Pizza, Pasta",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.1,Green,Very Good,1498,https://www.ismaya.com/storage/app/media/18.%20SKYE/SKYE%20001.jpg
3,7410290,Satoo - Hotel Shangri-La,94,Jakarta,"Hotel Shangri-La, Jl. Jend. Sudirman","Hotel Shangri-La, Sudirman","Hotel Shangri-La, Sudirman, Jakarta",106.8189611,-6.203291667,"Asian, Indonesian, Western",800000,Indonesian Rupiah(IDR),No,No,No,No,3,4.6,Dark Green,Excellent,873,https://www.nusatrip.com/blog/uploads/2016/10/satoo_intro.jpg
4,18391256,MONKS,94,Jakarta,"Komplek Graha Boulevard Timur, Summarecon Kelapa Gading Blok ND1/51, Kelapa Gading, Jakarta",Kelapa Gading,"Kelapa Gading, Jakarta",106.9113346,-6.163947933,"Western, Asian, Cafe",250000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,259,https://assets-pergikuliner.com/TK-GVhnD1e8da-qpn4jRn6L58Qs=/fit-in/758x598/smart/https://assets-pergikuliner.com/uploads/image/picture/1074734/picture-1537114155.jpg
5,18352452,Lucky Cat Coffee & Kitchen,94,Jakarta,"Plaza Festival, South Parking, Jl. HR Rasuna Said, Kuningan, Jakarta","Plaza Festival, Kuningan","Plaza Festival, Kuningan, Jakarta",106.8317481,-6.218932479,"Cafe, Western",300000,Indonesian Rupiah(IDR),No,No,No,No,3,4.3,Green,Very Good,458,https://fikkaa.com/wp-content/uploads/2019/06/LuckyCatCoffee3.jpg
6,7421967,3 Wise Monkeys,94,Jakarta,"Jl. Suryo No. 26, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8134001,-6.235241091,Japanese,450000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Very Good,395,https://b.zmtcdn.com/data/pictures/7/7421967/73f6bd07f6c12b6562da87ced670fb8f.jpg?output-format=webp
7,18370659,Flip Burger,94,Jakarta,"Jl. Senopati No. 27, Senopati, Jakarta",Senopati,"Senopati, Jakarta",106.8085503,-6.23077495,Burger,120000,Indonesian Rupiah(IDR),No,No,No,No,3,4.4,Green,Very Good,410,https://3.bp.blogspot.com/-JPDLXdxq8W4/V7lWuO02RHI/AAAAAAABP9Q/Yjgl-2wRZBgHfAr5b3BZESDCWlkSck3qgCLcB/s1600/FLIP%2BBURGER%2BJAKARTA-4.jpg
8,534534,Jetski Café,94,Jakarta,"Pantai Mutiara, Jl. Raya Pantai Mutiara, Blok R No. 57, Pluit, Jakarta",Pantai Mutiara,"Pantai Mutiara, Jakarta",106.7903324,-6.103449362,"Seafood, Café",350000,Indonesian Rupiah(IDR),No,No,No,No,3,4.2,Green,Good,794,https://1.bp.blogspot.com/-kG8dEMt7aPk/YCaVnS6_KNI/AAAAAAAABe0/n1LmvPSd3MQ4MVvGka9bQYjm7311XFZqACLcBGAsYHQ/s1080/jetski-cafe.jpg
9,18408381,Fish Streat,94,Jakarta,"Jl. Tebet Timur Dalam Raya 44B, Tebet, Jakarta",Tebet,"Tebet, Jakarta",106.8564133,-6.232815715,"Seafood, Western",100000,Indonesian Rupiah(IDR),No,No,No,No,3,4.0,Green,Very Good,331,https://raw.githubusercontent.com/algonacci/Free-CDN/main/iyshozpkhgyapci9axux.jpg
